,core_atom_type,core_atom_id,mu_x (debye),mu_y (debye),mu_z (debye),P_x (uC/cm^2),P_y (uC/cm^2),P_z (uC/cm^2),volume (angstrom^3)
64,Al,145,-0.23565138561169893,53.25939925461909,-2.5201859355478065,-4.218050344286987,953.3185080975453,-45.11015764032456,18.635350944286547
65,Al,146,-1.1487070750289565,-0.8451575578325163,-8.511472988541358,-96.86971473431979,-71.27158290613511,-717.7669384060212,3.9554929266173073
66,Al,147,1.6823145624086167,-35.76938780906387,12.767005977051111,37.368806829760004,-794.5359169583289,283.5901149590921,15.016797006941534
67,Al,148,16.370352648949876,-17.729660886313148,1.093126388546278,136.55999492213817,-147.89922077588645,9.1187610475032,39.98654492975537
68,Al,149,0.9395963589876578,3.6952141256799758,20.954450206470217,95.87767867501363,377.0646290701196,2138.2203373713955,3.2689114144894895
69,Al,150,15.94122250354551,-0.20638964078229916,1.6932105352310376,437.40708170550033,-5.6630719788744885,46.4595659939941,12.156684637945785
70,Al,151,0.257562102490106,17.885948123234925,1.008030456120915,6.487428807602485,450.50810652710516,25.390093327999235,13.243070581350631
71,Al,152,3.519458973499422,17.090260449702225,124.66555073213493,176.39019558235202,856.5391459241586,6248.057170604924,6.655501754938216
72,Al,153,13.564063646923355,11.817589678274466,130.5358018647448,689.5604121095478,600.7743859666161,6636.088098076757,6.5614048530474625
73,Al,154,9.791803233223604,1.780513931479672,116.07108298728569,500.0542490199027,90.92845675805361,5927.594422975934,6.531679899129788
74,Al,155,1.615980077949939,1.559767553961572,10.736697464079445,151.05312057347396,145.79867636366293,1003.608694644283,3.5684994800504786
75,Al,156,-0.7485504221577544,-1.4636200729274345,-12.558629442790535,-62.01848546891634,-121.26304058878026,-1040.5006189991382,4.02605070723538
76,Al,157,2.4804553788597423,2.123124455500162,17.176949434470302,236.47178388524515,202.40599031993392,1637.5476491510487,3.498899178459993
77,Al,158,26.223345736193057,17.583741252932874,117.66056383050685,336.605959241493,225.70697694492344,1510.304876863982,25.986371183807417
78,Al,159,16.00288111667939,0.47044062007294235,1.1395419488732175,469.5414871075079,13.803226227469635,33.43536813115713,11.368509915870307
79,Al,160,0.13949791258023242,0.2096585935363675,4.9236514856523925,12.596257560208459,18.931563885418118,444.59147167746977,3.694073343362733
80,Al,177,-16.178788818627574,-0.7204745284225661,-15.807852591021046,-409.0627952224048,-18.21640221570551,-399.6840826491078,13.19275087827355
81,Al,178,-0.38914475471375226,-0.5151870068760334,-0.9728095798898473,-34.216027285096004,-45.29844606838881,-85.53546906522776,3.7936820919016796
82,Al,179,-0.5212959982508666,-0.8808841394250857,-4.3476845157995365,-45.475831625667496,-76.84489990452293,-379.27505613974427,3.8236935487014665
83,Al,180,33.55639743102581,21.773883763541036,207.36601482008118,1162.6426833303742,754.4089527906494,7184.697952082136,9.627386418049154
84,Al,181,-16.450843809481707,17.74214179646456,-3.6116304100708954,-131.71033076482297,142.04884512622215,-28.915783373771976,41.66272534815427
85,Al,182,-1.2952068706418025,-17.65644172901406,-15.668519716539475,-34.257714375040905,-467.0059674192366,-414.4262088904195,12.611306842547586
86,Al,183,3.896144248358151,17.977234761547827,219.03285358357485,48.13434031025237,222.09709925762928,2706.009131453572,26.999724985022713
87,Al,184,10.17993763666385,34.053379737919194,239.4482176169171,72.92761333925641,243.95352889761963,1715.372692092778,46.562088684149145
88,Al,185,11.679191312814112,3.6585380010368684,121.92712741364672,568.3138432527247,178.02583555371345,5933.0198916416275,6.8549434227492805
89,Al,186,26.15857993364777,25.664323160416203,267.89499710317864,634.6482806851651,622.6568342020582,6499.553865192587,13.748660662555519
90,Al,187,-0.2330458634394153,17.73243167473635,-2.112318194525497,-6.049520244361026,460.30726662502565,-54.83260458573272,12.849901579041783
91,Al,188,12.461626496666279,14.989265960544184,139.36854449817318,697.5432476941482,839.0286180914204,7801.195709217344,5.959130941062572
92,Al,189,-3.4390915074855553,-4.519811183378409,-29.540315066641206,-269.9906167276979,-354.8340037585372,-2319.103131106919,4.248879337369178
93,Al,190,-1.9654937503360534,-1.922262954600312,-10.743603198970572,-172.73299165136604,-168.93375053059066,-944.1773708800037,3.795558674632332
94,Al,191,-3.5003605207130994,31.51828769777488,-20.223112919382803,-65.76002123000082,592.1227987443726,-379.92438980096637,17.75538808690684
95,Al,192,8.927800441129598,14.366640710843575,212.00807840737275,315.3121005666129,507.4010883747693,7487.702371992286,9.444591391506513
96,Al,209,7.970986921185932,37.2827719841671,110.60200214215372,142.33003091426326,665.7215902552792,1974.9105775386267,18.680775013602375
97,Al,210,4.837245846707418,12.312341159588327,104.54223654077295,229.65445312122438,584.5441942075073,4963.276815294159,7.025910714337761
98,Al,211,12.188955362776396,10.614087154203297,119.5622263223135,596.8171674149264,519.7056877746954,5854.216962794085,6.812468648030146
99,Al,212,-0.5258795880136323,-4.212707319038181,-25.059717515104666,-212.0547000320021,-1698.724208398261,-10105.033550787815,0.827213757088518
100,Al,213,11.419267979120896,3.604705925871897,113.29402591179644,570.5619183116263,180.10856140474695,5660.71808417776,6.675976822149675
