identifier,value1,value2,value3,diff1,diff2,diff3,a,b,c,parabol_min,parabol_min_diff,value4,diff4
3 17  8,0.23895,0.24145,0.2402,16124.90119,16124.90119,16124.90119,,,,0.2402,,0.2402,
3 17  9,1.9175,1.9275,1.9225,16124.90119,16124.90119,16124.90119,,,,1.9225,,1.9225,
3 17 13,-0.1345,-0.1355,-0.135,16124.90119,16124.90119,16124.90119,,,,-0.135,,-0.135,
3 17 14,5.5964,5.6014,5.5989,16124.90119,16124.90119,16124.90119,,,,5.5989,,5.5989,
3 10  1,199.875,200.125,200.0,16143.19617,16107.55154,16124.90119,30.25004883,-12242.59806,1254642.56,202.3566661,15956.89585,200.0,16124.90083
3 10  4,-0.306875,-0.311875,-0.309375,16123.86666,16127.47114,16124.90119,122832.7043,75281.84067,27658.54746,-0.3064405408,16123.84312,-0.3064405408,16123.84312
3 10  8,0.4177485,0.4202485,0.4189985,16126.67706,16120.83328,16123.62074,86037.22888,-74436.45187,32207.70863,0.4325828066,16107.74364,0.424450985,16113.43298
3 10  9,2.748467135,2.758467135,2.753467135,16111.2781,16110.49917,16110.86012,1140.764686,-6360.009134,24974.13608,2.787607827,16109.5301,2.786051807,16109.53286
3 10 13,-0.047317,-0.048317,-0.047817,16075.30687,16148.14623,16109.11459,10447823.91,926327.8279,36514.74354,-0.04433113709,15982.16022,-0.04684383,16048.12387
3 10 14,4.892159,4.897159,4.894659,16044.40067,16048.87749,16046.59945,6341.289765,-61181.53697,163586.7264,4.824060975,16014.99358,4.84323741,16017.3255
4 13  1,0.3277491942,0.3287491942,0.3282491942,16002.67559,16005.42409,16003.95148,393454.3329,-255553.6383,57495.4934,0.3247564163,15999.15118,0.3247564163,15999.15118
4 13  2,1.820341174,1.821341174,1.820841174,15999.25443,15996.43893,15997.66195,738933.0312,-2693774.87,2471029.044,1.822746282,15994.97968,1.822746282,15994.97968
4 13  3,10.1207903,10.1332903,10.1270403,15992.11898,15996.69459,15993.95871,11470.67048,-231961.8359,1188683.894,10.11108445,15991.03804,10.11108445,15991.03804
4 13  4,1.426503558,1.427503558,1.427003558,15986.92975,15994.50475,15990.63727,319896.9043,-905413.0421,656599.6782,1.415163807,15945.79387,1.415163807,15945.79387
5 71  1,89.75,90.25,90.0,15920.82601,15890.56017,15904.22992,23.41080633,-4274.476814,210979.6119,91.29281481,15865.10144,90.0,15904.22956
