iter,molecular_formula,molecular_mass
20350,N128Al128,5245.696
20375,N128Al128,5245.696
20400,N128Al128,5245.696
20425,N128Al128,5245.696
20450,N128Al128,5245.696
20475,N128Al128,5245.696
20500,N128Al128,5245.696
20525,N128Al128,5245.696
20550,N128Al128,5245.696
20575,N128Al128,5245.696
20600,N128Al128,5245.696
20625,N128Al128,5245.696
20650,N128Al128,5245.696
20675,N128Al128,5245.696
20700,N128Al128,5245.696
20725,N128Al128,5245.696
20750,N128Al128,5245.696
20775,N128Al128,5245.696
20800,N128Al128,5245.696
20825,N128Al128,5245.696
20850,N128Al128,5245.696
20875,N128Al128,5245.696
20900,N128Al128,5245.696
20925,N128Al128,5245.696
20950,N128Al128,5245.696
20975,N128Al128,5245.696
21000,N128Al128,5245.696
21025,N128Al128,5245.696
21050,N128Al128,5245.696
21075,N128Al128,5245.696
21100,N128Al128,5245.696
21125,N128Al128,5245.696
21150,N128Al128,5245.696
21175,N128Al128,5245.696
21200,N128Al128,5245.696
21225,N128Al128,5245.696
21250,N128Al128,5245.696
21275,N128Al128,5245.696
21300,N128Al128,5245.696
21325,N128Al128,5245.696
21350,N128Al128,5245.696
21375,N128Al128,5245.696
21400,N128Al128,5245.696
21425,N128Al128,5245.696
21450,N128Al128,5245.696
21475,N128Al128,5245.696
21500,N128Al128,5245.696
21525,N128Al128,5245.696
21550,N128Al128,5245.696
21575,N128Al128,5245.696
21600,N128Al128,5245.696
21625,N128Al128,5245.696
21650,N128Al128,5245.696
21675,N128Al128,5245.696
21700,N128Al128,5245.696
21725,N128Al128,5245.696
21750,N128Al128,5245.696
21775,N128Al128,5245.696
21800,N128Al128,5245.696
21825,N128Al128,5245.696
21850,N128Al128,5245.696
21875,N128Al128,5245.696
21900,N128Al128,5245.696
21925,N128Al128,5245.696
21950,N128Al128,5245.696
21975,N128Al128,5245.696
22000,N128Al128,5245.696
22025,N128Al128,5245.696
22050,N128Al128,5245.696
22075,N128Al128,5245.696
22100,N128Al128,5245.696
22125,N128Al128,5245.696
22150,N128Al128,5245.696
22175,N128Al128,5245.696
22200,N128Al128,5245.696
22225,N128Al128,5245.696
22250,N128Al128,5245.696
22275,N128Al128,5245.696
22300,N128Al128,5245.696
22325,N128Al128,5245.696
22350,N128Al128,5245.696
22375,N128Al128,5245.696
22400,N128Al128,5245.696
22425,N128Al128,5245.696
22450,N128Al128,5245.696
22475,N128Al128,5245.696
22500,N128Al128,5245.696
22525,N128Al128,5245.696
22550,N128Al128,5245.696
22575,N128Al128,5245.696
22600,N128Al128,5245.696
22625,N128Al128,5245.696
22650,N128Al128,5245.696
22675,N128Al128,5245.696
22700,N128Al128,5245.696
22725,N128Al128,5245.696
22750,N128Al128,5245.696
22775,N128Al128,5245.696
22800,N128Al128,5245.696
22825,N128Al128,5245.696
22850,N128Al128,5245.696
22875,N128Al128,5245.696
22900,N128Al128,5245.696
22925,N128Al128,5245.696
22950,N128Al128,5245.696
22975,N128Al128,5245.696
23000,N128Al128,5245.696
