lineno,section,title,ffield_value,qm_value,weight,error,total_ff_error,difference
106,ENERGY,Energy +c55_0/  1 -c55_c5/  1,-0.8746,-0.3884,1.0,0.2364,6.5486,0.4862
13,ENERGY,Energy +bulk_0/  1 -bulk_e5/  1,-0.7337,-1.2652,1.0,0.2825,0.5101,-0.5315000000000001
91,ENERGY,Energy +c23_0/  1 -c23_e6/  1,0.135,-0.401,1.0,0.2873,3.7582,-0.536
78,ENERGY,Energy +c13_0/  1 -c13_e6/  1,0.1351,-0.401,1.0,0.2874,2.6665,-0.5361
92,ENERGY,Energy +c44_0/  1 -c44_c6/  1,-1.3496,-0.5592,1.0,0.6248,4.383,0.7903999999999999
105,ENERGY,Energy +c55_0/  1 -c55_c6/  1,-1.3496,-0.5592,1.0,0.6248,6.3122,0.7903999999999999
104,ENERGY,Energy +c44_0/  1 -c44_e6/  1,-1.3496,-0.5592,1.0,0.6248,5.6874,0.7903999999999999
117,ENERGY,Energy +c55_0/  1 -c55_e6/  1,-1.3496,-0.5592,1.0,0.6248,7.6167,0.7903999999999999
131,ENERGY,Energy +bulk_0/  1 -Zn_metal/  2 -Pt_metal/  4,-20.7318,-26.058,1.0,28.3679,36.5353,-5.3262
136,ENERGY,Energy +Zn_Pt111_hcp1/  1 -Zn_Pt111_bridge/  1,-6.6256,-3.59,0.25,147.4395,24453.8345,3.0356000000000005
132,ENERGY,Energy +Zn_Pt111_top/  1 -Pt111_slab/  1 -Zn_atom/  1,-53.625,-40.11,1.0,182.6554,219.1907,13.515
133,ENERGY,Energy +Zn_Pt111_bridge/  1 -Pt111_slab/  1 -Zn_atom/  1,-93.9765,-51.34,0.5,7271.4681,7490.6588,42.6365
134,ENERGY,Energy +Zn_Pt111_hcp1/  1 -Pt111_slab/  1 -Zn_atom/  1,-100.6021,-54.89,0.5,8358.3727,15849.0316,45.71209999999999
135,ENERGY,Energy +Zn_Pt111_hcp2/  1 -Pt111_slab/  1 -Zn_atom/  1,-100.672,-54.69,0.5,8457.3634,24306.395,45.982
